City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
284,Lastoursville,GA,2022-07-19 17:56:25,-0.8143,12.7287,79.38,63,96,2.15
285,Santiago,CL,2022-07-19 17:53:27,-33.4569,-70.6483,74.55,29,0,3.44
286,Key Largo,US,2022-07-19 17:53:20,25.0865,-80.4473,90.0,60,1,10.25
287,Kalmunai,LK,2022-07-19 17:56:25,7.4167,81.8167,79.09,86,74,4.25
288,Ngunguru,NZ,2022-07-19 17:56:25,-35.6167,174.5,56.66,95,89,6.42
289,Floro,NO,2022-07-19 17:56:25,61.5996,5.0328,75.24,64,0,6.91
290,Mola Di Bari,IT,2022-07-19 17:56:26,41.0609,17.0873,85.93,48,0,5.03
291,Yenagoa,NG,2022-07-19 17:56:26,4.9247,6.2642,76.6,74,97,6.42
292,Khorinsk,RU,2022-07-19 17:56:26,52.1657,109.7726,59.49,88,83,4.16
293,Colares,PT,2022-07-19 17:56:26,38.7992,-9.4469,80.28,55,20,21.85
